"SITE_ID","FW_ECO9","NTL_RESULT","PTL_RESULT"
"NLA12_MS-116","CPL",0.396,22
"NLA12_MS-R03","CPL",1.226,66
"NLA12_MS-119","CPL",0.99,45
"NLA12_VT-101","NAP",0.261,18
"NLA12_TX-141","CPL",0.445,30
"NLA12_TX-169","CPL",4.065,54
"NLA12_OR-133","WMT",0.16,20
"NLA12_OR-131","WMT",0.625,197
"NLA12_TX-158","CPL",0.806,88
"NLA12_ID-107","XER",0.895,383
"NLA12_VT-102","NAP",0.25,14
"NLA12_OR-101","XER",0.839,332
"NLA12_TX-135","CPL",2.894,114
"NLA12_WI-101","TPL",1.06,92
"NLA12_ID-151","XER",7.844,705
"NLA12_TX-110","SPL",0.61,26
"NLA12_WI-102","TPL",0.8,10
"NLA12_ID-109","XER",0.23,41
"NLA12_ID-111","XER",0.465,84
"NLA12_VT-106","NAP",0.315,20
"NLA12_WI-152","TPL",0.5,24
"NLA12_WI-113","UMW",1.67,12
"NLA12_MI-151","UMW",0.398,10
"NLA12_WI-117","UMW",0.72,18
"NLA12_MI-139","UMW",1.559,31
"NLA12_MI-124","UMW",0.616,38
"NLA12_OR-106","WMT",0.016,62
"NLA12_WI-136","TPL",0.74,21
"NLA12_MI-109","UMW",0.569,44
"NLA12_TX-109","CPL",0.805,35
"NLA12_VT-109","NAP",0.429,19
"NLA12_MI-136","UMW",0.721,17
"NLA12_MI-105","UMW",0.546,44
"NLA12_CA-R09","WMT",0.15,14
"NLA12_MI-167","UMW",0.72,26
"NLA12_WI-168","TPL",0.52,17
"NLA12_TX-124","SPL",0.596,25
"NLA12_TX-148","SPL",0.595,64
"NLA12_WI-172","TPL",3.84,132
"NLA12_MI-108","UMW",0.558,14
"NLA12_ID-149","WMT",1.048,85
"NLA12_ID-148","XER",0.303,77
"NLA12_ID-103","WMT",0.196,35
"NLA12_MI-104","UMW",0.619,18
"NLA12_VT-104","NAP",0.296,9
"NLA12_MI-120","UMW",0.781,49
"NLA12_TX-103","SPL",0.97,49
"NLA12_MI-152","UMW",1.236,30
"NLA12_MI-128","UMW",0.395,10
"NLA12_MI-168","UMW",3.663,23
"NLA12_MI-112","UMW",0.79,38
"NLA12_MI-115","UMW",0.588,15
"NLA12_WI-131","UMW",0.019,24
"NLA12_WI-154","UMW",0.89,35
"NLA12_NE-109","SPL",0.723,59
"NLA12_NE-103","SPL",1.058,310
"NLA12_NE-114","SPL",0.33,241
"NLA12_WA-106","WMT",0.968,53
"NLA12_NE-104","SPL",2.304,237
"NLA12_MI-117","UMW",0.489,18
"NLA12_MI-102","UMW",0.588,46
"NLA12_NE-133","SPL",1.999,96
"NLA12_MI-110","UMW",0.551,10
"NLA12_MI-129","UMW",0.488,21
"NLA12_VT-114","NAP",0.136,10
"NLA12_MI-123","UMW",0.501,22
"NLA12_MI-161","UMW",0.61,30
"NLA12_WI-166","UMW",1.35,70
"NLA12_MI-165","UMW",0.565,17
"NLA12_MI-162","UMW",0.246,5
"NLA12_MI-132","UMW",1.246,15
"NLA12_MI-118","UMW",0.389,8
"NLA12_WA-107","WMT",1.074,74
"NLA12_WI-112","UMW",0.91,14
"NLA12_WI-108","UMW",0.97,56
"NLA12_MI-169","UMW",0.773,41
"NLA12_MI-148","UMW",0.379,8
"NLA12_WA-129","WMT",0.035,85
"NLA12_WI-155","UMW",0.29,20
"NLA12_WI-103","UMW",0.8,77
"NLA12_MI-137","UMW",0.708,19
